id,cfdi_comprobante_impuestos_id,impuesto,tipo_factor,tasa_o_cuota,base,importe,created_at,updated_at
1,1,002,Tasa,0.160000,4032.000000,645.120000,2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,002,Tasa,0.160000,15542.430000,2486.790000,2026-01-15 20:59:52,2026-01-15 20:59:52
3,3,002,Tasa,0.160000,19.040000,3.050000,2026-01-15 20:59:52,2026-01-15 20:59:52
4,4,002,Tasa,0.160000,4310.340000,689.650000,2026-01-15 20:59:52,2026-01-15 20:59:52
5,5,002,Tasa,0.160000,4310.340000,689.650000,2026-01-15 20:59:52,2026-01-15 20:59:52
6,6,002,Tasa,0.160000,4310.340000,689.650000,2026-01-15 20:59:52,2026-01-15 20:59:52
7,7,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
8,8,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
9,9,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
10,10,002,Tasa,0.160000,19280.340000,3084.850000,2026-01-15 20:59:52,2026-01-15 20:59:52
11,11,002,Tasa,0.160000,3288.800000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
12,12,002,Tasa,0.160000,3288.800000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
13,13,002,Tasa,0.160000,3288.800000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
14,14,002,Tasa,0.160000,3288.800000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
15,15,002,Tasa,0.160000,3288.800000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
16,16,002,Tasa,0.160000,3288.800000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
17,17,002,Tasa,0.160000,3288.800000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
18,18,002,Tasa,0.160000,3899.000000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
19,19,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
20,20,002,Tasa,0.160000,28500.000000,4560.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
21,21,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
22,22,002,Tasa,0.160000,487415.000000,77986.400000,2026-01-15 20:59:52,2026-01-15 20:59:52
23,23,002,Tasa,0.160000,2519.100000,403.060000,2026-01-15 20:59:52,2026-01-15 20:59:52
24,24,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
25,25,002,Tasa,0.160000,174420.000000,27907.200000,2026-01-15 20:59:52,2026-01-15 20:59:52
26,26,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
27,27,002,Tasa,0.160000,3899.000000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
28,28,002,Tasa,0.160000,490.000000,78.400000,2026-01-15 20:59:52,2026-01-15 20:59:52
29,29,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
30,30,002,Tasa,0.160000,58194.180000,9311.070000,2026-01-15 20:59:52,2026-01-15 20:59:52
31,31,002,Tasa,0.160000,2750.000000,440.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
32,32,002,Tasa,0.160000,3800.000000,608.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
33,33,002,Tasa,0.160000,1504.000000,240.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
34,34,002,Tasa,0.160000,15750.000000,2520.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
35,35,002,Tasa,0.160000,11983.500000,1917.360000,2026-01-15 20:59:52,2026-01-15 20:59:52
36,36,002,Tasa,0.160000,768.000000,122.880000,2026-01-15 20:59:52,2026-01-15 20:59:52
37,37,002,Tasa,0.160000,3899.000000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
38,38,002,Tasa,0.160000,1999.000000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
39,39,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
40,40,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
41,41,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
42,42,002,Tasa,0.160000,487415.000000,77986.400000,2026-01-15 20:59:52,2026-01-15 20:59:52
43,43,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
44,44,002,Tasa,0.160000,2499.000000,399.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
45,45,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
46,46,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
47,47,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
48,48,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
49,49,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
50,50,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
51,51,002,Tasa,0.160000,2098.950000,335.830000,2026-01-15 20:59:52,2026-01-15 20:59:52
52,52,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
53,53,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
54,54,002,Tasa,0.160000,60847.320000,9735.570000,2026-01-15 20:59:52,2026-01-15 20:59:52
55,55,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
56,56,002,Tasa,0.160000,3349.000000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
57,57,002,Tasa,0.160000,1814.000000,290.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
58,58,002,Tasa,0.160000,11085.050000,1773.610000,2026-01-15 20:59:52,2026-01-15 20:59:52
59,59,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
60,60,002,Tasa,0.160000,1999.000000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
61,61,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
62,62,002,Tasa,0.160000,3899.000000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
63,63,002,Tasa,0.160000,3085.890000,493.740000,2026-01-15 20:59:52,2026-01-15 20:59:52
64,64,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
65,65,002,Tasa,0.160000,1169.000000,187.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
66,66,002,Tasa,0.160000,35237.000000,5637.920000,2026-01-15 20:59:52,2026-01-15 20:59:52
67,67,002,Tasa,0.160000,17999.000000,2879.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
68,68,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
69,69,002,Tasa,0.160000,3288.790000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
70,70,002,Tasa,0.160000,3288.790000,526.210000,2026-01-15 20:59:52,2026-01-15 20:59:52
71,71,002,Tasa,0.160000,768.000000,122.880000,2026-01-15 20:59:52,2026-01-15 20:59:52
72,72,002,Tasa,0.160000,1999.000000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
73,73,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
74,74,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
75,75,002,Tasa,0.160000,4093.950000,655.030000,2026-01-15 20:59:52,2026-01-15 20:59:52
76,76,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
77,77,002,Tasa,0.160000,1169.000000,187.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
78,78,002,Tasa,0.160000,3349.000000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
79,79,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
80,80,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
81,81,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
82,82,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
83,83,002,Tasa,0.160000,3349.000000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
84,84,002,Tasa,0.160000,16375.000000,2620.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
85,85,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
86,86,002,Tasa,0.160000,2067.240000,330.760000,2026-01-15 20:59:52,2026-01-15 20:59:52
87,87,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
88,88,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
89,89,002,Tasa,0.160000,5829.200000,932.670000,2026-01-15 20:59:52,2026-01-15 20:59:52
90,90,002,Tasa,0.160000,17599.000000,2815.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
91,91,002,Tasa,0.160000,1479.000000,236.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
92,92,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
93,93,002,Tasa,0.160000,289.000000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
94,94,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
95,95,002,Tasa,0.160000,433.500000,69.360000,2026-01-15 20:59:52,2026-01-15 20:59:52
96,96,002,Tasa,0.160000,2799.000000,447.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
97,97,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
98,98,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
99,99,002,Tasa,0.160000,1169.000000,187.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
100,100,002,Tasa,0.160000,13799.500000,2207.920000,2026-01-15 20:59:52,2026-01-15 20:59:52
101,101,002,Tasa,0.160000,4310.340000,689.660000,2026-01-15 20:59:52,2026-01-15 20:59:52
102,102,002,Tasa,0.160000,87781.250000,14045.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
103,103,002,Tasa,0.160000,11534.000000,1845.440000,2026-01-15 20:59:52,2026-01-15 20:59:52
104,104,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
105,105,002,Tasa,0.160000,8998.000000,1439.680000,2026-01-15 20:59:52,2026-01-15 20:59:52
106,106,002,Tasa,0.160000,5239.000000,838.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
107,107,002,Tasa,0.160000,2399.000000,383.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
108,108,002,Tasa,0.160000,17599.000000,2815.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
109,109,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
110,110,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
111,111,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
112,112,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
113,113,002,Tasa,0.160000,3899.000000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
114,114,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
115,115,002,Tasa,0.160000,768.000000,122.880000,2026-01-15 20:59:52,2026-01-15 20:59:52
116,116,002,Tasa,0.160000,529.000000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
117,117,002,Tasa,0.160000,173.400000,27.740000,2026-01-15 20:59:52,2026-01-15 20:59:52
118,118,002,Tasa,0.160000,1189.000000,190.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
119,119,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
120,120,002,Tasa,0.160000,279.000000,44.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
121,121,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
122,122,002,Tasa,0.160000,4631.900000,741.100000,2026-01-15 20:59:52,2026-01-15 20:59:52
123,123,002,Tasa,0.160000,27599.000000,4415.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
124,124,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
125,125,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
126,126,002,Tasa,0.160000,3349.000000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
127,127,002,Tasa,0.160000,768.000000,122.880000,2026-01-15 20:59:52,2026-01-15 20:59:52
128,128,002,Tasa,0.160000,43194.000000,6911.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
129,129,002,Tasa,0.160000,1649.000000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
130,130,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
131,131,002,Tasa,0.000000,1.000000,0.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
132,132,002,Tasa,0.160000,4093.950000,655.030000,2026-01-15 20:59:52,2026-01-15 20:59:52
133,133,002,Tasa,0.160000,2399.000000,383.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
134,134,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
135,135,002,Tasa,0.160000,939.000000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
