id,cfdi_concepto_id,created_at,updated_at
1,1,2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,2026-01-15 20:59:52,2026-01-15 20:59:52
3,3,2026-01-15 20:59:52,2026-01-15 20:59:52
4,4,2026-01-15 20:59:52,2026-01-15 20:59:52
5,5,2026-01-15 20:59:52,2026-01-15 20:59:52
6,6,2026-01-15 20:59:52,2026-01-15 20:59:52
7,7,2026-01-15 20:59:52,2026-01-15 20:59:52
8,9,2026-01-15 20:59:52,2026-01-15 20:59:52
9,10,2026-01-15 20:59:52,2026-01-15 20:59:52
10,11,2026-01-15 20:59:52,2026-01-15 20:59:52
11,12,2026-01-15 20:59:52,2026-01-15 20:59:52
12,13,2026-01-15 20:59:52,2026-01-15 20:59:52
13,14,2026-01-15 20:59:52,2026-01-15 20:59:52
14,15,2026-01-15 20:59:52,2026-01-15 20:59:52
15,16,2026-01-15 20:59:52,2026-01-15 20:59:52
16,17,2026-01-15 20:59:52,2026-01-15 20:59:52
17,18,2026-01-15 20:59:52,2026-01-15 20:59:52
18,19,2026-01-15 20:59:52,2026-01-15 20:59:52
19,20,2026-01-15 20:59:52,2026-01-15 20:59:52
20,21,2026-01-15 20:59:52,2026-01-15 20:59:52
21,22,2026-01-15 20:59:52,2026-01-15 20:59:52
22,23,2026-01-15 20:59:52,2026-01-15 20:59:52
23,24,2026-01-15 20:59:52,2026-01-15 20:59:52
24,25,2026-01-15 20:59:52,2026-01-15 20:59:52
25,27,2026-01-15 20:59:52,2026-01-15 20:59:52
26,28,2026-01-15 20:59:52,2026-01-15 20:59:52
27,29,2026-01-15 20:59:52,2026-01-15 20:59:52
28,30,2026-01-15 20:59:52,2026-01-15 20:59:52
29,33,2026-01-15 20:59:52,2026-01-15 20:59:52
30,34,2026-01-15 20:59:52,2026-01-15 20:59:52
31,38,2026-01-15 20:59:52,2026-01-15 20:59:52
32,39,2026-01-15 20:59:52,2026-01-15 20:59:52
33,40,2026-01-15 20:59:52,2026-01-15 20:59:52
34,41,2026-01-15 20:59:52,2026-01-15 20:59:52
35,42,2026-01-15 20:59:52,2026-01-15 20:59:52
36,43,2026-01-15 20:59:52,2026-01-15 20:59:52
37,44,2026-01-15 20:59:52,2026-01-15 20:59:52
38,45,2026-01-15 20:59:52,2026-01-15 20:59:52
39,46,2026-01-15 20:59:52,2026-01-15 20:59:52
40,47,2026-01-15 20:59:52,2026-01-15 20:59:52
41,48,2026-01-15 20:59:52,2026-01-15 20:59:52
42,49,2026-01-15 20:59:52,2026-01-15 20:59:52
43,50,2026-01-15 20:59:52,2026-01-15 20:59:52
44,51,2026-01-15 20:59:52,2026-01-15 20:59:52
