id,cfdi_id,clave_prod_serv,no_identificacion,cantidad,clave_unidad,unidad,descripcion,valor_unitario,importe,descuento,objeto_impuesto,metadata,created_at,updated_at
1,1,43232403,"",1.000000,ACT,Servicio,Servicios de workspace,4032.000000,4032.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
2,2,82101603,"",1.000000,E48,Servicio,"Publicidad ""Google Ads""",15542.430000,15542.43,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
3,3,81112006,"",1.000000,ACT,Servicio,Servicios de Plataforma de Google Cloud (GCP),19.040000,19.04,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
4,4,84111506,"",1.000000,ACT,Servicio,Cancelación Prepago,4310.340000,4310.34,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
5,5,84111506,"",1.000000,ACT,Servicio,Cancelación Prepago,4310.340000,4310.34,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
6,6,84111506,"",1.000000,ACT,Servicio,Cancelación Prepago,4310.340000,4310.34,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
7,7,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
8,8,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
9,9,43231600,CSF50,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 50 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,529.000000,529.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
10,10,43231600,CSF03,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 300 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,1649.000000,1649.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
11,11,43231600,CMR03,1.000000,E48,SERVICIO,Servicio de monitoreo y validacion automatica de proveedores en la Lista Negra del SAT: 25 RFCs - 15000 proveedores - 5 usuarios,19280.340000,19280.34,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
12,12,43231600,CSF04,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 900 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,3288.800000,3288.80,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
13,13,43231600,CSF04,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 900 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,3288.800000,3288.80,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
14,14,43231600,CSF04,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 900 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,3288.800000,3288.80,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
15,15,43231600,CSF04,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 900 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,3288.800000,3288.80,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
16,16,43231600,CSF04,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 900 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,3288.800000,3288.80,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
17,17,43231600,CSF04,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 900 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,3288.800000,3288.80,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
18,18,43231600,CSF04,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 900 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,3288.800000,3288.80,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
19,19,43231600,CSRN03,1.000000,E48,SERVICIO,"Servicio de descarga masiva de CFDIs: RFCs Ilimitados - 100,000 Descargas CIEC - 3 Equipos - Anual",3899.000000,3899.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
20,20,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
21,21,43231600,CPG-AD,25000.000000,E48,SERVICIO,25000 transacciones adicionales para el servicio CSPlug,1.140000,28500.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
22,22,43231600,CSF50,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 50 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,529.000000,529.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
23,23,43231600,CST12,1.000000,E48,SERVICIO,Servicio de interconexion sistemas-sistema a traves de archivos TXT/XML para la generacion de CFDI a partir de tickets,91415.000000,91415.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
24,23,43231600,CPG-AD,400000.000000,E48,SERVICIO,400000 transacciones adicionales para el servicio CSPlug,0.990000,396000.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
