id,cfdi_nomina_id,tipo_otro_pago,clave,concepto,importe,subsidio_causado,created_at,updated_at
1,1,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,999,099,Ajuste al neto,0.33,,2026-01-15 20:59:52,2026-01-15 20:59:52
3,2,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
4,3,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
5,4,999,099,Ajuste al neto,0.16,,2026-01-15 20:59:52,2026-01-15 20:59:52
6,4,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
7,5,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
8,6,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
9,7,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
10,8,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
11,9,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
12,10,999,099,Ajuste al neto,0.04,,2026-01-15 20:59:52,2026-01-15 20:59:52
13,10,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
14,11,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
15,12,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
16,13,002,035,Subs al Empleo mes,0.00,218.75,2026-01-15 20:59:52,2026-01-15 20:59:52
17,14,999,099,Ajuste al neto,0.07,,2026-01-15 20:59:52,2026-01-15 20:59:52
18,14,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
19,15,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
20,16,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
21,17,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
22,18,999,099,Ajuste al neto,0.04,,2026-01-15 20:59:52,2026-01-15 20:59:52
23,18,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
24,19,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
25,20,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
26,21,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
27,22,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
28,23,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
29,24,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
30,25,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
31,26,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
32,27,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
33,28,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
34,29,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
35,30,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
36,31,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
37,32,999,099,Ajuste al neto,0.11,,2026-01-15 20:59:52,2026-01-15 20:59:52
38,32,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
39,33,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
40,34,999,099,Ajuste al neto,0.13,,2026-01-15 20:59:52,2026-01-15 20:59:52
41,34,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
42,35,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
43,36,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
44,37,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
45,38,999,099,Ajuste al neto,0.10,,2026-01-15 20:59:52,2026-01-15 20:59:52
46,38,002,035,Subs al Empleo mes,0.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
47,39,002,035,Subs al Empleo mes,0.00,88.19,2026-01-15 20:59:52,2026-01-15 20:59:52
