id,cfdi_id,version,uuid,fecha_timbrado,sello_cfdi,no_certificado_sat,sello_sat,rfc_prov_certif,leyenda,created_at,updated_at
1,1,1.1,c987cb11-e713-11f0-9251-839b0bd70d41,2026-01-01 08:59:11,aCkqI4g6NXcUVJAvsOK0z852yPmsBnomSZntBbiYGQCOBD9szooxOetu4jw02Vevs3rNJrsUP3hUoNqGViwAYHq/R6s2sa+oxmDjxmbwuGEzPoN+FOGxhsMmoKv4gTTCA+OPo4tIU9SFO1VId1CeavxXzZdWmTP6ZbL0O2Dtu1fPeG0+5lQ1XzYRzcmFqm7SMjNH1F1PLlak0R+gg4Git6k8nlGpfH/MY6C0gtulhnevqWbvYByO9cX7ZIYG27MTQ5WUQ39zQuVOBAuaBTGWcmQyOMSZlHzFWJ0CBJH6RewNSUii64mF14qUaDTpJ+h1j3CU13AEPDirRlvcKIyz1Q==,00001000000700047508,HXHOtoFwFLePwnC5FPIzDAq0qLtKTxu1y8J6+5oNT52S/y0bAgn+fHOluhn1D9EQqdFgldEtM/fAZEkjni8QjJcvU3nkUAwc/1D6DTHjvgRhb3ResCuF9S4ara58sdVMEbBUjcA2vQJeEu9V2/1GSlsjthgDWmrKNxbQALoD0V99wh9Uh0xOD910B7Vz2HAJB5On6JdKyEu/Zzbr2R6OkUXzJHbl+DsqqNE7vaDuGlFvs10nICsixbpbEL2CIKsuwCqqMwodfPl+7xkzpDb+58BX8xR2VYuRXFTXgFfz7lU5RraNnl7AYCgHXeXy+p4tn6XkMGh0AyM7hGADzmFwyg==,EME000602QR9,"",2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,1.1,6d7e7012-e72e-11f0-aa6a-23eaad5c03f1,2026-01-01 11:35:24,LSQPC+EmEPfnHE7b1P/wJzIWZ+dSY9to4yr2pK1MYggxdYyvAEK0sOmVdt15xV4mz5hDN1Jn0Uq7l+FTcbRmIt+GJa/pzreA7JX1HeGPvoJE6gkUsL0rLr5f3CjoJlOPsh0erBAzDRmPCyMo7zWAGT45jJxYL4ekGOel67rcV9Zvg6d69iKmfv3B8wVpl/XIGCRgTqz08djbN/0RRgKqa8/bRNPTz7f8vL59TNPIygBALw21NOly6z1WKDGSThstG+GITnkxJgY7auOQ+voZdCtgKHRUOVnz+WvmAHKQfSQJQdHiwUHUxAzzab2O7l0db8pB34z8L/U3Rt6EGUG6JQ==,00001000000700047508,x5dJv9saadyeFVLKoCZvQuFVgsZBQSU6J5TeLpakPUUXhko4/QKG7E5PS5eREfaMoI0fb26u9agpyqwsdr9xothR6wHWyoM+0RqDNuhMxxC7XkGDq5BvF28i9k77fCIhVykh3vJzD2zAi7p9H4wjbKFiFeDAxy1m0fU2WCPxQyKpL3pfjnvd7R9KNFN11MysPVVSvkq1oNxhLGpM800ND2siK7hpBSBHi1Ey8X/Ewzu1S9PPi8oAMP1+aTAbkntvjHQ1vHr2k8UkakM2zs0Q0J279yY0+fUyFIQPL453zw4m+lSdATiSU6rdA6VFNur98Dtk07FCz2Gc4qUyBDYAYw==,EME000602QR9,"",2026-01-15 20:59:52,2026-01-15 20:59:52
3,3,1.1,62363fe5-e744-11f0-bd56-df0b77e7afaa,2026-01-01 13:43:37,Om1uJQFB6nzSKOT7RK/7o/W05EtdqqE2LtHQ0HgE+LnNgvPs9sAxeFbbF435NnYOF4+YRV7Ef+Bhp5v0w3GMff4kOePFJ5MnbklLMrP8t8hkcQFeEWUbjiWNCKKHcfkqC/ukrf1jnD6svdt3IWFC3swICYSKnCKqJvphUN+gO7EfRTstUIWv0RqZCxxyvDLvPhxLNltL6VXOFRugUZXRcZ5AKfcb9SFuV7/CTBL7vKahK45SPfghjW4mndYXhRq42t4/6KWQyDAZGPqijHXnoafARjbbDIwqTR7gbRFC4pKUbRIQiVKN06KE6dzdlt2b6bk9CkeKIBd1tkU0dACWWw==,00001000000700047508,GT+WxhzE2UWGA2uOEJ2mv7FOMw5pC0iutbErZzN+qFqXkzxegvEOHyN0QNpXRx1DzDXwjuaEZD1juDK7tD+bkNNGJQSafKC1ZZXa65jbs0ACSEZ8o3+U7gS/sm3KedT4qaq5uUhq1tcQYEEh1dlm6cghWyHjNmRFwtM1U9FIPPsmTDq3wt0+7glWHfjkx8G3+28yHN1oLd7klVm/KSz7BVXQVP1biDtRlSp/m4POtOhLn1KD4owe0el/QO6olVUY7wTQW+NSFcTa2adlVUNz2qP4h9kHSqCs6dkKyFHXYJHrqaQaC1UAhiseI6XLMy37TnEYSHYDd2wv1AHmBjoDCQ==,EME000602QR9,"",2026-01-15 20:59:52,2026-01-15 20:59:52
4,4,1.1,79752d16-e744-11f0-8d06-4743513015f6,2026-01-01 14:05:31,YAeStGoZW5+PFlx4t9FMMURBqSzazJzBc7J7A9/7iEYA0GPMad9as0M6ZB+CeCQ+6gO68gGA7ra/oKOR+I9SKsX0fm432yUTGghqO3hXW4WfEETw3WXh3fnIDImavhoYrZwkDLFhsf3sGqSEf1HoPzScorl/GS3p0c8NOZfU7wCQUD2FZ/XZ8Y1ctKckM8JC4g7758K6iKakGPdoT177po4CqqvQz17eZeNqemgMJMXXEmsldLrXXj4F0vG3oGkIMByZFfq5ePkdlwZuxivJwWswIzxg2IQOyDNorcTVI0feaHh1ZKJiGg+vs1QrGU6NMBKNKud3IQphsB3t1ZiI8Q==,00001000000700047508,k57HQ6IdKoKyesMRwHQPTf+7jvKJXugzb/j9WVxCZw5xGvJN3/+rP396fAQOjgkzl98gFS3HTLem1zbW8+UVT3ruhKfhsFvWmSqZ/jC0ubsN6WSW1JQpixi5rp+9Mi/Svo0ORtVX76FyunU4KepMU8hbgAru9P1cw++FZEMEULyCELh2uf6KHUyur8xDexpughaIkoWWdkPfTvJhTfYi7dlsW0NO1/LXXKdVGG4BetxXI8oxiuc3gVWXis7QlWOptgTnYO2ypoVom6D6MMayz9ZIZyXVAHYFPMiWbBk9iE7AQ7UYnuwSjX3QAUNEf+YRH9aQr6UCJHukiRZc9KFaEA==,EME000602QR9,"",2026-01-15 20:59:52,2026-01-15 20:59:52
5,5,1.1,914fafb8-e74a-11f0-af49-8bbf20269461,2026-01-01 14:33:47,SwpI7prjHzVCtlVfFCwNJYrvrak2mgqjhJwvhbZ4et9LdjueIZXetqPPOOUUDPrHEaqPjwJ6VeQugKISVJglD17FZCdEW9cxS5ctaMK2YcRahF8zdviL3uXb/arsHS3nEjiOfYlBB8btUS0/UHVR1FjgPngk1DTEp8NQIEQFFhMUzO+lVBbpywVUatZ0X4OBpWwlW5r4SlUM+eUigQexr32bYKl0liqgugAzULydsqHTi945Py4OU0L20dLNCf1247K1WAzzZdOQznpRwnx9TpAnFD5Qp646cGwudSLNtwefTvjfGTZ8OeiJw0VSH4JdjCZRKV/qrcMiqp/Lj7ACfw==,00001000000700047508,R5Nv6cbvjxrJIqmPzUjR3NKcjQIT2fLK9LnAG3Aldhbrb2Nwm1f86eAKmAOsxmD2xy24HF08LWabs7rGz1kt3EHVgtAuOkcem522xf0sUwVMxhrq3XsfjV8Hj6L3jdZaOoldFyOxeXArApXy5JvKZX/zhKyk42+bGuzudzA/DzzrXnbJC02TI5wScbJN6W6icEc74BDHabjriMzLqspq4cykmmgisQ7OxoxsquhiQLVifxa7cTmHpkZL7Zugi8NhGPjJW0duccbS6wtO8s38Kq4s/NEinzI0UUk1GBr8LEbntgUmbgdpqE3mdo2pLVCdWuvQaR6CYJiuWaE8YPqJ3g==,EME000602QR9,"",2026-01-15 20:59:52,2026-01-15 20:59:52
6,6,1.1,914fafbb-e74a-11f0-82bf-6f429fe9bda2,2026-01-01 14:56:32,NTfL7x82+nxPFCivCknoQA5yDpzTK2TOPn3hBl4BBRa/o6ufgmS8vRhJ87x/DpX1+yKenr49Y+s9Jz2E8839/9TwvsoJHh4CLT6vDuJfQuYIkYZXKnpDENmZ2rGd1IILGg/3UAaF5Z7N4gub1bF8itmFyvhMx9Vvf4MMABJ1P3ynVBQcPtXfUpQ0l+FqbnJI22E1t94wV2FB1joe7IbVY/Udl8WedmnDuz4abu0JgyRts+4txvPK+ATTlAQn5h4l1gW59Teq371zTaiiNsnW+sTgGE0MhBMMlqmcMD4aZxf1aOMtZadTcklUrq1c84KrUB0IDgWVi15BhUjinoTWYA==,00001000000700047508,bERlMcTFnc+vXGyaB3ik/U2RbPDk8hU/0cMWu5CBzk5RQOF+fLkRnJ09CRbQqkIN4g36iIFsC9ATkAqGL919saiBMBpE3i1LOQ8+6NV1rFAo4kD5YQ8t4szaGhFEQlH+peeMcqrV3Kfz5hgR8dxrgCCFh4k6rxveS63gg/8QqdgoWKZW/BZDx4e1KZlSvIH9c4EclFHlQjozUdmGSWNlF//aTtCMltUJFgUr2UilH0UQf9Qs+XKj9f7rz8Xl7Nabooh/ZbLZ4WWuuB6LVWKxoH6X03vMgnpzQAFXMFPPbteRnYh4xHvzfHQdDID0OjOP7wpKs3cxMIzOhyijSNLJgA==,EME000602QR9,"",2026-01-15 20:59:52,2026-01-15 20:59:52
7,7,1.1,6d6c7ea4-363a-ca44-ae65-e82cd5268689,2026-01-01 15:00:39,ID6nGxOjM71za48FOME7St+KUVeGHu3NIKTda0IeX1dLaV5EQ1+O9xMsS6jnVYkAn+2E0apJqllbjM2SNhWiNJKyAoxPw74XSv47mlbCjdKOQJTt6rt2NToIyMcZM9r0MgllnlNelQ7sjRX7QElO6jLarQrWfEzEe4TWB0dB8X0gcNLn5+NEJzPYQjZwwqT+jrrAUiECwC27iOcrEXN1bn5ah0TiaFH6+zkBvgEbvsAayFHdMFExG32mLvy0hCoEQ/Y+oeQen0gUJKsJKlnrxVGhis3rFCvW8XPYWnxjspPEnZd6z6pqGbOYYp4KTIEfE9TUfkVNkL30kCmQL1wekA==,00001000000702501858,T9Vwi/68bQBnqOn+HLicJxolmU0WHMOLleVFKtJ1Qu3OuATcMgHzzoUqTEFTdD5K3TKoaJKaXR9hgwzQKest+isWYD9vgWmbqNF7CszriFuBLbVHEzcxgelCPla1/StmjEpbscNtnxOvV+KHG8Y9+RGZol9gHSJqB1NGvEZ4K+cmjmg80LbVDLglTieexSbjAHA39b37ZzqTLTk2NrQKU2mZ7k0J3VWWlOsrwyY29NULjN3ACj7b0Gdtx+pDurAbDYZU+I6C1ZaDDzlqqu1IMVhhEWj+xH2vIZOHMyVEwQsZtT3yrgJbK7rLLPrAoiYXevqe+OY7r0L0c2Nbr3aBiw==,SCD110105654,"",2026-01-15 20:59:52,2026-01-15 20:59:52
8,8,1.1,32dce8d3-126d-4494-ab76-736228757f83,2026-01-01 20:54:54,LRSnINORi2m++vfa31wY+s/UFdqVdRy/R7tDg76MYi0oUSnR5bRn5EC/QfSm3gp3w3iQ16ZMNd9BwbOzyHnYlyk0xZxeZ+0BugVSFxStDzVD9+exjcVsRuvi9PP/CoJPgSXwx7byYAbplES7HdqO5s6f+xlNuWCAfacJH/ee73RaGbCyQCK/BmJ8bz4uOWhPcy1dW6v0lfObBqs6B47WTVAad/TfCYQxOXoy5Sv60VJIBt+JS/EY4nmIxPKCW3fXlO32EF5W+zPCrsP9DowgN0FAb8U6gFIC1gbuHjaOnPqmrxtyx0wcECl6CfEcVfk2Ka2Bly3lYxfAD7pU+WQbmg==,00001000000717752386,Fiskf0Gu2ds8Q7AnqIe+xUnt87ac3TpCZZsdbmXthFFBNztTYCrjXU/PyAN37yGgLayHR1w8RIjeYTZE0ONlPKFlK7VibzO9heX9QWvP6SkouvZGHfmOOchSl6domOmVKyULuXpX8vBVfXsZdgPc/eLavDcws7n7F998BBTMLpUX8wl/+wgnxq/DjaM34KcZSaOCU8N9Ii6Ja+FS8RIaaINxjr6vlGARt+WCv7EzIjMVAL7Yd1j5s9IyX4fY02Kb6sRAkrEevfX3bOfYl5OEiUYCsSwU+DSyuZDMDKapOU4M/Wkcbiph49VZ1dhnrwwttWj9z3kb0tjdN2V2Mmk66w==,TME840315KT6,ValorDelAtributoLeyenda,2026-01-15 20:59:52,2026-01-15 20:59:52
9,9,1.1,90e15dbb-08d3-e74e-9788-8f2ac32c362c,2026-01-02 10:27:34,MzghiVxebzdfsNQ4lAFkxGR58bqmLM2w6c8ePu3NGGvJWzftQe7XbGHvGta3Wj5sdvuNDb+M7LMWAE+u9OM766T5PC1ZvWYkPEVs7GmkflpUVb7RkY5Vx5y9wnvnRb97UK5ndgMfiReQ+RUAFKo4soSc4TNkbEflsRn+kQvYJguazaybhE3/9Zz3s5paAZq7dnfDH5yRRY8kwcC3KLCkAjcUrPzL39tnpsUKvnrbZ1yIL5+Bht2SqFtyMs94xq8ApR6Jw8JsByDBCcsWxpmFWmab7gVY7KyaCSNtNtlEQj37uGSOVYJlC6e6dQZi2lzQ4035LHRLnpiXiNov85OVxA==,00001000000702501858,Rf8nENJ1K5bc0XHSsMFmnnHLl+pxDTnCKd/Z9ndG1YC5Oj0wVdxXhcGzlpnsaZAQ7kgZPQLRLB+M3z68wEZlp/P6+SBRW83YbuIWyytUyeGWQOPRHnOc8WwnBNMcdxtf68/aXCInQlmaurEMGEVrsze1zx8fCTIZ4/q0RhK6JPqqMD5Dj9EsTkaH61IoENkwWjkFiBzlY1/TKvgLVxoOhf6UP1mcp7JtZmimRbCvVtaJrP0qRbOCbIHBmtfM2iw1NsQNcxY8KI7IgzakR/jqPybPr5lADFCA2UxpYps42L0m7i7x9MkH/U3PdzqZwM1fsj6LmZdCZ7iwR7yq/mFCZg==,SCD110105654,"",2026-01-15 20:59:52,2026-01-15 20:59:52
10,10,1.1,1c7bcb23-1b91-dd42-b7b2-5da025f1bb82,2026-01-02 10:57:34,qVK06/GKoQYTVEP/79UsTJ/7EqGcPcJ8+fNwoVXt2P5qSdlgpJBHH8m3s+A9loZ/ljMId68BBGl3a1IiD/XVR/pjIkyu4L0mLVJFu9/8HUJY2aia3F3Gf73oLPDa21TUP14L6olW8Y7kPoxh+qowmAJbRMJ2SOwWNFPV/TOSOPhjmZbNlvIPw49Znr/lOLsPAZ17ISkzN/UEqYSreqCme/gfzzL+Llz76HxRnIdjxV/LWC/IZn0j/BIRZQjX/T1WhYgW/A5ye+8rWBbSfZUm/vEF7mRGKLQqW5WsuRdUplGNbiq5tP6iKweHcs58jG3aH5+yJgap729WBBkpOg5RjA==,00001000000702501858,RVRT3Wld90HImeW9K8zuX91HUMK8T1hPcfLzsM7OAqckU07s3aZ8lgidhg8r/eygSLOHlvK6LX7vU71JLTDDDPVT4vAOy32GKwK3NjJMa37PMRAJGR5SBbLHPpX1VL+LW72ycG5NXXT4mj9M9tZB1flkS5gwChVQgC4UhQS2eJJ+t2zL39r1/9wWmZKh2UTuqKeEZsTcxIuX7lzAe3HMjo13jBDC4dldLJLoSBOH3GnRI0tBIM/50NlELsK3j8DhQWvzxewcJE4JfZOvUhFjXJwRn/1HXSClWjpuI1VH569D9XpJP/Fefx9D8yXZuwwyEkjNxjyL+iKiXYA8CgfkAQ==,SCD110105654,"",2026-01-15 20:59:52,2026-01-15 20:59:52
